chain_symbol,expiration_date,strike_price,option_type,side,order_created_at,direction,order_quantity,order_type,opening_strategy,closing_strategy,price,processed_quantity
PLTR,2021-01-15,25.5000,put,sell,2021-01-11T15:58:49.947826Z,credit,1.00000,limit,short_put,,0.59000000,1.00000
TWTR,2021-01-15,47.0000,put,sell,2021-01-11T15:19:48.067049Z,credit,1.00000,limit,short_put,,0.99000000,1.00000
PLUG,2021-01-15,51.0000,call,buy,2021-01-11T15:16:25.298423Z,debit,1.00000,limit,long_call_spread,,2.01000000,1.00000
PLUG,2021-01-15,56.0000,call,sell,2021-01-11T15:16:25.298423Z,debit,1.00000,limit,long_call_spread,,2.01000000,1.00000
GME,2021-01-22,20.0000,call,sell,2021-01-11T15:02:09.246380Z,credit,1.00000,limit,,long_call,2.28000000,1.00000
PLTR,2021-01-15,23.5000,put,sell,2021-01-08T18:54:41.942887Z,credit,1.00000,limit,short_put,,0.52000000,1.00000
PLTR,2021-01-08,24.0000,put,buy,2021-01-08T14:41:53.477891Z,debit,1.00000,limit,,short_put,0.04000000,1.00000
GME,2021-01-22,20.0000,call,buy,2021-01-07T16:43:03.463223Z,debit,1.00000,limit,long_call,,1.40000000,1.00000
NFLX,2021-01-15,525.0000,call,sell,2021-01-07T14:33:41.684753Z,credit,2.00000,limit,,long_call_spread,1.38000000,2.00000
NFLX,2021-01-15,530.0000,call,buy,2021-01-07T14:33:41.684753Z,credit,2.00000,limit,,long_call_spread,1.38000000,2.00000
NFLX,2021-01-15,530.0000,call,sell,2021-01-06T20:54:40.710123Z,debit,1.00000,limit,long_call_spread,,1.04000000,1.00000
NFLX,2021-01-15,525.0000,call,buy,2021-01-06T20:54:40.710123Z,debit,1.00000,limit,long_call_spread,,1.04000000,1.00000
NFLX,2021-01-15,530.0000,call,sell,2021-01-06T19:33:23.108083Z,debit,1.00000,limit,long_call_spread,,1.20000000,1.00000
NFLX,2021-01-15,525.0000,call,buy,2021-01-06T19:33:23.108083Z,debit,1.00000,limit,long_call_spread,,1.20000000,1.00000
PLTR,2021-01-08,29.0000,call,sell,2021-01-04T16:15:57.350283Z,credit,1.00000,limit,,long_call,0.09000000,1.00000
DKNG,2021-01-15,60.0000,call,sell,2021-01-04T16:13:08.922873Z,credit,2.00000,limit,,long_call,0.13000000,2.00000
BA,2021-01-15,222.5000,call,buy,2021-01-04T16:10:45.513174Z,credit,1.00000,limit,,long_call_spread,0.39000000,1.00000
BA,2021-01-15,220.0000,call,sell,2021-01-04T16:10:45.513174Z,credit,1.00000,limit,,long_call_spread,0.39000000,1.00000
FB,2021-01-15,277.5000,call,buy,2021-01-04T15:04:38.130546Z,credit,2.00000,limit,,long_call_spread,0.90000000,2.00000
FB,2021-01-15,275.0000,call,sell,2021-01-04T15:04:38.130546Z,credit,2.00000,limit,,long_call_spread,0.90000000,2.00000
DKNG,2021-01-29,48.0000,call,sell,2021-01-04T14:18:37.322306Z,credit,1.00000,limit,short_call,,3.05000000,1.00000
RKT,2021-01-15,22.0000,call,sell,2020-12-31T20:54:14.130322Z,credit,1.00000,limit,,long_call,0.29000000,1.00000
PLTR,2021-01-22,40.0000,call,sell,2020-12-31T20:52:14.002973Z,credit,1.00000,limit,,long_call,0.12000000,1.00000
BABA,2021-01-15,280.0000,call,sell,2020-12-31T20:51:42.539036Z,credit,1.00000,limit,,long_call,0.21000000,1.00000
NIO,2021-01-15,46.0000,call,buy,2020-12-31T19:02:51.082127Z,credit,1.00000,limit,,long_call_spread,0.52000000,1.00000
NIO,2021-01-15,45.0000,call,sell,2020-12-31T19:02:51.082127Z,credit,1.00000,limit,,long_call_spread,0.52000000,1.00000
FB,2021-01-15,275.0000,call,buy,2020-12-31T16:54:43.773231Z,debit,1.00000,limit,long_call_spread,,1.03000000,1.00000
FB,2021-01-15,277.5000,call,sell,2020-12-31T16:54:43.773231Z,debit,1.00000,limit,long_call_spread,,1.03000000,1.00000
FB,2021-01-15,275.0000,call,buy,2020-12-31T15:53:46.381849Z,debit,1.00000,limit,long_call_spread,,1.10000000,1.00000
FB,2021-01-15,277.5000,call,sell,2020-12-31T15:53:46.381849Z,debit,1.00000,limit,long_call_spread,,1.10000000,1.00000
FSLY,2021-01-08,96.0000,call,buy,2020-12-31T14:44:44.204084Z,credit,1.00000,limit,,long_call_spread,0.20000000,1.00000
FSLY,2021-01-08,95.0000,call,sell,2020-12-31T14:44:44.204084Z,credit,1.00000,limit,,long_call_spread,0.20000000,1.00000
DKNG,2021-01-08,46.5000,put,sell,2020-12-30T20:15:46.178300Z,credit,1.00000,limit,short_put,,1.00000000,1.00000
FB,2020-12-31,275.0000,call,sell,2020-12-30T20:06:48.910543Z,credit,1.00000,limit,,long_call,0.87000000,1.00000
MSFT,2021-01-08,232.5000,call,sell,2020-12-30T20:04:44.418010Z,credit,1.00000,limit,,long_call,0.42000000,1.00000
FB,2020-12-31,275.0000,call,buy,2020-12-30T19:33:09.089767Z,debit,1.00000,limit,long_call,,0.85000000,1.00000
ROKU,2020-12-31,350.0000,call,sell,2020-12-30T17:47:30.674416Z,credit,1.00000,limit,,long_call,0.60000000,1.00000
MSFT,2021-01-08,232.5000,call,buy,2020-12-30T17:44:23.838676Z,debit,1.00000,limit,long_call,,0.57000000,1.00000
DIS,2020-12-31,177.5000,put,sell,2020-12-30T17:42:25.249648Z,credit,1.00000,limit,,long_put,0.34000000,1.00000
ROKU,2020-12-31,345.0000,call,sell,2020-12-30T16:36:09.778209Z,credit,1.00000,limit,,long_call,0.93000000,1.00000
ROKU,2020-12-31,345.0000,call,buy,2020-12-30T15:36:38.515713Z,debit,1.00000,limit,long_call,,1.25000000,1.00000
BABA,2020-12-31,265.0000,call,sell,2020-12-30T15:12:32.026312Z,credit,1.00000,limit,,long_call,0.09000000,1.00000
DIS,2020-12-31,177.5000,put,buy,2020-12-30T14:52:04.848908Z,debit,1.00000,limit,long_put,,0.24000000,1.00000
DKNG,2021-01-15,60.0000,call,buy,2020-12-29T18:41:53.309059Z,debit,1.00000,limit,long_call,,0.35000000,1.00000
CHWY,2020-12-31,95.0000,call,sell,2020-12-29T17:26:30.086076Z,credit,1.00000,limit,,long_call_spread,0.14000000,1.00000
CHWY,2020-12-31,96.5000,call,buy,2020-12-29T17:26:30.086076Z,credit,1.00000,limit,,long_call_spread,0.14000000,1.00000
DKNG,2020-12-31,47.0000,put,sell,2020-12-29T16:11:24.730878Z,credit,1.00000,limit,short_put,,0.30000000,1.00000
NIO,2021-01-15,46.0000,call,sell,2020-12-29T14:54:37.737778Z,debit,1.00000,limit,long_call_spread,,0.40000000,1.00000
NIO,2021-01-15,45.0000,call,buy,2020-12-29T14:54:37.737778Z,debit,1.00000,limit,long_call_spread,,0.40000000,1.00000
ROKU,2020-12-31,350.0000,call,buy,2020-12-29T14:38:57.612577Z,debit,1.00000,limit,long_call,,3.55000000,1.00000
BA,2021-01-15,222.5000,call,sell,2020-12-28T20:57:53.730800Z,debit,1.00000,limit,long_call_spread,,0.95000000,1.00000
