ref_id,chain_symbol,expiration_date,strike_price,option_type,side,order_created_at,direction,order_quantity,order_type,opening_strategy,closing_strategy,price,processed_quantity
57CA480D-E0DC-405F-9AAC-E3EC0C05DFCB,FB,2020-12-31,265.0000,call,buy,2020-12-24T17:52:38.344679Z,debit,1.00000,limit,long_call_spread,,1.40000000,1.00000
63EC52C0-5FA8-4553-A41C-669D245D306B,PTON,2020-12-31,175.0000,call,buy,2020-12-24T17:45:25.446972Z,debit,1.00000,limit,long_call,,1.15000000,1.00000
FEBC3D96-D73B-424D-963F-8D59D9D3FAB5,DKNG,2021-01-15,60.0000,call,buy,2020-12-24T17:36:33.230472Z,debit,1.00000,limit,long_call,,1.20000000,1.00000
389DC14B-7F9B-43E3-8AD4-3EFC976E6C2E,PTON,2020-12-31,175.0000,call,buy,2020-12-24T17:14:07.892116Z,debit,1.00000,limit,long_call,,1.63000000,1.00000
E121378A-AF0C-48AF-A0C8-7CAED98C576E,FB,2020-12-31,272.5000,call,buy,2020-12-24T15:57:01.217187Z,credit,1.00000,limit,,long_call_spread,0.79000000,1.00000
E121378A-AF0C-48AF-A0C8-7CAED98C576E,FB,2020-12-31,270.0000,call,sell,2020-12-24T15:57:01.217187Z,credit,1.00000,limit,,long_call_spread,0.79000000,1.00000
abaf0b46-fabf-4767-9528-74e723a7c291,PTON,2020-12-31,175.0000,call,buy,2020-12-24T15:25:10.822887Z,debit,1.00000,limit,long_call,,1.65000000,1.00000
e51640c2-dfc3-4ebc-9138-0cc0ca7e1011,FB,2020-12-31,270.0000,call,buy,2020-12-24T15:03:52.937935Z,debit,1.00000,limit,long_call_spread,,0.98000000,1.00000
e51640c2-dfc3-4ebc-9138-0cc0ca7e1011,FB,2020-12-31,272.5000,call,sell,2020-12-24T15:03:52.937935Z,debit,1.00000,limit,long_call_spread,,0.98000000,1.00000
F2DFC724-CF6F-4901-82E0-B471671572AE,AAPL,2021-01-22,125.0000,call,buy,2020-12-24T14:50:23.525196Z,debit,1.00000,limit,long_call_spread,,0.74000000,1.00000
F2DFC724-CF6F-4901-82E0-B471671572AE,AAPL,2021-01-22,126.0000,call,sell,2020-12-24T14:50:23.525196Z,debit,1.00000,limit,long_call_spread,,0.74000000,1.00000
B9DEFE09-A108-47EE-9A2E-30D433B69A8A,DBX,2020-12-31,25.0000,call,sell,2020-12-24T14:47:08.576367Z,credit,1.00000,limit,,long_call,0.33000000,1.00000
48435044-55a8-4142-9b96-2e430024c054,ROKU,2020-12-24,380.0000,call,sell,2020-12-24T14:35:48.235478Z,credit,1.00000,limit,,long_call,0.07000000,1.00000
521b0fe3-bb8c-4655-bb13-72a768c17403,BABA,2020-12-31,265.0000,call,buy,2020-12-23T19:39:26.937916Z,debit,1.00000,limit,long_call,,1.60000000,1.00000
59749ab9-2b5a-4f2b-9cbb-752c22a22eb4,NVDA,2020-12-24,532.5000,call,sell,2020-12-23T19:19:49.007012Z,credit,1.00000,limit,,long_call,0.61000000,1.00000
6b8feaaf-7043-4279-842a-df5b61ac8920,FB,2020-12-31,272.5000,call,sell,2020-12-23T19:00:46.941189Z,credit,1.00000,limit,,long_call,4.15000000,1.00000
AFD7CA37-FAF6-40A4-8581-750D00F3A0C8,PLUG,2020-12-31,38.0000,call,sell,2020-12-23T18:58:28.369775Z,credit,1.00000,limit,,long_call,0.98000000,1.00000
aa93372b-149a-4056-ae4b-707cfade541a,PLUG,2020-12-31,38.0000,call,sell,2020-12-23T18:54:50.122154Z,credit,1.00000,limit,,long_call,0.98000000,1.00000
93988f88-ac87-4acb-97ec-5f425eab508b,DBX,2020-12-31,25.0000,call,buy,2020-12-23T18:45:29.949925Z,debit,1.00000,limit,long_call,,0.60000000,1.00000
6326fdf1-af37-41df-bd24-2a9e47ea6f0a,PLUG,2020-12-31,38.0000,call,buy,2020-12-23T18:42:45.748287Z,debit,1.00000,limit,long_call,,1.02000000,1.00000
